Event ID,Event Name,Start Date/Time,End Date/Time,Event Agency,Event Type,Event Borough,Event Location,Event Street Side,Street Closure Type,Community Board,Police Precinct
746419,NYRR Open Run at Marine Park,02/04/2024 08:00:00 AM,02/04/2024 11:00:00 AM,Parks Department,Special Event,Brooklyn,Marine Park: Lawn (Fillmore Avenue),,N/A,"18,","63,"
745413,Soccer - Non Regulation,02/04/2024 08:00:00 AM,02/04/2024 04:00:00 PM,Parks Department,Sport - Youth,Brooklyn,Newtown Barge Playground: Soccer -01   (8 y/o and younger only),,N/A,"1,","94,"
754653,Live Music,08/02/2024 06:00:00 PM,08/02/2024 10:00:00 PM,Parks Department,Special Event,Queens,Rockaway Beach and Boardwalk: Beach 94th Street,,N/A,"14,","100,"
744938,Soccer - Non Regulation,02/04/2024 08:30:00 AM,02/04/2024 06:30:00 PM,Parks Department,Sport - Youth,Manhattan,De Witt Clinton Park: Soccer-01B,,N/A,"04,","18,"
739789,Lawn closure - Pilgrim Hill,02/04/2024 12:00:00 AM,02/04/2024 01:00:00 AM,Parks Department,Special Event,Manhattan,Central Park: Pilgrim Hill,,N/A,"64,","22,"
741477,Soccer -Regulation,02/04/2024 08:00:00 AM,02/04/2024 07:00:00 PM,Parks Department,Sport - Youth,Staten Island,"Fairview Park: Multi-Purpose Field-01 ,Bloomingdale Park: Youth Soccer-01",,N/A,"03, 3,","123,"
740810,Soccer - Non Regulation,02/04/2024 09:00:00 AM,02/04/2024 01:00:00 PM,Parks Department,Sport - Youth,Staten Island,Bloomingdale Park: Youth Soccer-01,,N/A,"03,","123,"
739785,Lawn closure - East 102 Clay Oval,02/04/2024 12:01:00 AM,02/04/2024 01:00:00 AM,Parks Department,Special Event,Manhattan,Central Park: East 102nd St Clay Oval,,N/A,"64,","22,"
740581,Lawn closure - Diana Ross Lawn,02/04/2024 12:00:00 AM,02/04/2024 11:59:00 PM,Parks Department,Special Event,Manhattan,Central Park: Diana Ross Playground Lawn,,N/A,"64,","22,"
754696,Soccer - Non Regulation,03/15/2024 04:00:00 PM,03/15/2024 06:00:00 PM,Parks Department,Sport - Youth,Brooklyn,Dean Playground: Soccer-01,,N/A,"08,","78,"
743346,Soccer - Non Regulation,02/04/2024 08:00:00 AM,02/04/2024 05:00:00 PM,Parks Department,Sport - Youth,Manhattan,Marx Brothers Playground: Soccer-01,,N/A,"11,","23,"
741071,Soccer - Non Regulation,02/04/2024 09:00:00 AM,02/04/2024 01:00:00 PM,Parks Department,Sport - Youth,Manhattan,Highbridge Park: Soccer-01,,N/A,"12,","33,"
744666,Soccer -Regulation,02/03/2024 06:00:00 PM,02/03/2024 08:00:00 PM,Parks Department,Sport - Youth,Brooklyn,Calvert Vaux Park: Soccer-01,,N/A,"13,","60,"
745019,Soccer -Regulation,02/04/2024 09:00:00 AM,02/04/2024 06:00:00 PM,Parks Department,Sport - Adult,Manhattan,Pier 42: Soccer-01,,N/A,"3,","7,"
743594,2024 NO AMPLFIED SOUND,02/04/2024 08:00:00 AM,02/04/2024 11:00:00 PM,Parks Department,Special Event,Manhattan,Tompkins Square Park: Old Bandshell,,N/A,"3,","9,"
744896,Soccer - Non Regulation,02/04/2024 08:00:00 AM,02/04/2024 11:00:00 AM,Parks Department,Sport - Youth,Staten Island,Mahoney Playground: Football-01,,N/A,"01,","120,"
749168,Soccer - Non Regulation,02/04/2024 09:00:00 AM,02/04/2024 06:00:00 PM,Parks Department,Sport - Adult,Brooklyn,Parade Ground: Soccer-11,,N/A,"14,","70,"
745845,Soccer - Non Regulation,02/04/2024 07:00:00 AM,02/04/2024 09:00:00 AM,Parks Department,Sport - Adult,Queens,Frank Principe Park / Maurice Park: Soccer-03,,N/A,"5,","104,"
